user_id,signup_date,acquisition_channel,plan,onboarding_completed,signup_month,churn_date,is_active
52,13-02-2025,Organic Search,Basic,1,2025-02,,1
53,11-06-2025,App Store,Basic,1,2025-06,14-08-2025,0
54,21-07-2025,Paid Social,Basic,1,2025-07,08-09-2025,0
55,27-09-2025,Organic Search,Premium,1,2025-09,,1
56,28-09-2025,Email Campaign,Premium,1,2025-09,30-10-2025,0
57,03-08-2025,Organic Search,Basic,1,2025-08,04-09-2025,0
58,09-09-2025,Email Campaign,Standard,1,2025-09,,1
59,09-07-2025,Email Campaign,Standard,1,2025-07,,1
60,01-08-2025,Paid Social,Standard,0,2025-08,11-10-2025,0
61,27-07-2025,Email Campaign,Basic,1,2025-07,07-09-2025,0
62,25-08-2025,Paid Social,Basic,1,2025-08,,1
63,22-02-2025,Paid Social,Basic,1,2025-02,,1
64,05-08-2025,Organic Search,Standard,1,2025-08,,1
65,09-09-2025,Organic Search,Basic,0,2025-09,,1
66,07-07-2025,App Store,Basic,1,2025-07,17-08-2025,0
67,10-02-2025,Paid Social,Premium,1,2025-02,25-02-2025,0
68,06-06-2025,Paid Social,Standard,1,2025-06,05-10-2025,0
69,15-01-2025,Paid Social,Premium,1,2025-01,,1
70,06-03-2025,Referral,Basic,1,2025-03,,1
71,09-01-2025,Organic Search,Basic,1,2025-01,21-02-2025,0
72,09-05-2025,Paid Social,Premium,1,2025-05,14-05-2025,0
73,16-05-2025,Email Campaign,Basic,0,2025-05,18-06-2025,0
74,04-03-2025,Organic Search,Basic,0,2025-03,27-06-2025,0
75,19-05-2025,Organic Search,Basic,1,2025-05,13-08-2025,0
76,22-03-2025,Organic Search,Basic,1,2025-03,03-04-2025,0
77,12-06-2025,Paid Social,Basic,1,2025-06,,1
78,18-09-2025,App Store,Premium,1,2025-09,,1
79,19-08-2025,Organic Search,Premium,1,2025-08,,1
80,10-02-2025,Organic Search,Premium,0,2025-02,04-07-2025,0
81,28-01-2025,Paid Social,Basic,1,2025-01,11-03-2025,0
82,15-05-2025,Email Campaign,Basic,0,2025-05,24-09-2025,0
83,20-07-2025,Referral,Basic,1,2025-07,17-08-2025,0
84,25-09-2025,Paid Social,Premium,0,2025-09,,1
85,02-02-2025,Email Campaign,Basic,1,2025-02,04-05-2025,0
86,17-02-2025,Referral,Standard,0,2025-02,24-02-2025,0
87,03-03-2025,App Store,Standard,1,2025-03,01-06-2025,0
88,04-08-2025,Email Campaign,Basic,0,2025-08,28-09-2025,0
89,09-04-2025,Organic Search,Basic,0,2025-04,03-06-2025,0
90,21-06-2025,Organic Search,Premium,0,2025-06,18-10-2025,0
91,02-08-2025,Organic Search,Premium,1,2025-08,,1
92,04-02-2025,Paid Social,Basic,0,2025-02,21-06-2025,0
93,15-08-2025,App Store,Basic,1,2025-08,12-09-2025,0
94,11-04-2025,Paid Social,Premium,1,2025-04,06-07-2025,0
95,11-05-2025,Organic Search,Basic,0,2025-05,25-05-2025,0
96,14-09-2025,Email Campaign,Basic,1,2025-09,,1
97,05-01-2025,Paid Social,Basic,1,2025-01,03-06-2025,0
98,06-08-2025,Organic Search,Standard,1,2025-08,10-08-2025,0
99,12-09-2025,Paid Social,Basic,0,2025-09,,1
100,26-07-2025,Paid Social,Basic,1,2025-07,,1
101,15-01-2025,Email Campaign,Basic,1,2025-01,11-02-2025,0
102,11-02-2025,Organic Search,Standard,1,2025-02,16-02-2025,0
103,28-06-2025,Organic Search,Premium,0,2025-06,20-08-2025,0
104,04-03-2025,Paid Social,Standard,1,2025-03,08-04-2025,0
105,19-08-2025,Organic Search,Standard,0,2025-08,,1
106,29-08-2025,Referral,Standard,1,2025-08,,1
107,21-02-2025,Paid Social,Basic,0,2025-02,31-03-2025,0
108,06-04-2025,Paid Social,Basic,0,2025-04,07-04-2025,0
109,10-08-2025,App Store,Premium,1,2025-08,06-10-2025,0
110,19-08-2025,Referral,Basic,1,2025-08,,1
111,25-08-2025,Organic Search,Basic,0,2025-08,,1
112,23-05-2025,Referral,Standard,1,2025-05,29-08-2025,0
113,20-06-2025,Email Campaign,Basic,1,2025-06,,1
114,29-01-2025,Email Campaign,Basic,0,2025-01,19-08-2025,0
115,05-02-2025,Organic Search,Premium,0,2025-02,21-02-2025,0
116,13-01-2025,App Store,Premium,1,2025-01,11-10-2025,0
117,09-06-2025,Paid Social,Basic,1,2025-06,,1
118,06-07-2025,Organic Search,Premium,1,2025-07,,1
119,31-08-2025,Organic Search,Standard,1,2025-08,14-09-2025,0
120,27-03-2025,Organic Search,Standard,0,2025-03,17-08-2025,0
121,07-03-2025,Email Campaign,Basic,0,2025-03,,1
122,19-06-2025,Organic Search,Basic,0,2025-06,15-10-2025,0
123,14-02-2025,Organic Search,Standard,1,2025-02,29-09-2025,0
124,03-03-2025,App Store,Premium,1,2025-03,25-07-2025,0
125,14-05-2025,Paid Social,Standard,1,2025-05,01-07-2025,0
126,28-01-2025,Organic Search,Basic,1,2025-01,24-05-2025,0
127,18-04-2025,Organic Search,Basic,0,2025-04,25-04-2025,0
128,13-02-2025,Organic Search,Standard,1,2025-02,25-08-2025,0
129,08-05-2025,Organic Search,Basic,0,2025-05,,1
130,19-08-2025,Referral,Standard,0,2025-08,,1
131,09-07-2025,Organic Search,Basic,0,2025-07,19-09-2025,0
132,13-08-2025,Organic Search,Basic,0,2025-08,,1
133,01-05-2025,Email Campaign,Standard,0,2025-05,09-08-2025,0
134,26-04-2025,Referral,Standard,1,2025-04,,1
135,21-08-2025,Paid Social,Basic,1,2025-08,22-08-2025,0
136,16-09-2025,Paid Social,Basic,1,2025-09,,1
137,17-07-2025,Paid Social,Standard,1,2025-07,,1
138,17-05-2025,Paid Social,Basic,0,2025-05,28-06-2025,0
139,14-06-2025,Paid Social,Standard,1,2025-06,28-07-2025,0
140,13-08-2025,Paid Social,Premium,1,2025-08,,1
141,22-08-2025,App Store,Basic,1,2025-08,,1
142,21-06-2025,Organic Search,Premium,1,2025-06,23-09-2025,0
143,01-06-2025,Email Campaign,Basic,0,2025-06,,1
144,09-06-2025,Organic Search,Standard,0,2025-06,26-10-2025,0
145,06-04-2025,Email Campaign,Basic,0,2025-04,24-04-2025,0
146,21-08-2025,Referral,Premium,1,2025-08,,1
147,29-06-2025,Email Campaign,Basic,1,2025-06,10-07-2025,0
148,23-04-2025,Organic Search,Basic,0,2025-04,27-07-2025,0
149,21-02-2025,Referral,Premium,0,2025-02,,1
150,25-09-2025,Paid Social,Standard,1,2025-09,,1
151,23-04-2025,Email Campaign,Standard,1,2025-04,05-08-2025,0
152,11-04-2025,Paid Social,Basic,1,2025-04,23-07-2025,0
153,23-04-2025,Paid Social,Standard,0,2025-04,11-09-2025,0
154,22-03-2025,Paid Social,Basic,0,2025-03,29-04-2025,0
155,06-07-2025,Paid Social,Basic,0,2025-07,21-07-2025,0
156,23-04-2025,Paid Social,Standard,1,2025-04,05-05-2025,0
157,02-01-2025,Organic Search,Basic,1,2025-01,11-03-2025,0
158,10-05-2025,App Store,Premium,0,2025-05,16-05-2025,0
159,08-08-2025,Email Campaign,Premium,0,2025-08,19-08-2025,0
160,23-02-2025,App Store,Standard,1,2025-02,,1
161,12-08-2025,Organic Search,Standard,0,2025-08,,1
162,13-08-2025,App Store,Standard,1,2025-08,,1
163,06-05-2025,Email Campaign,Basic,0,2025-05,27-06-2025,0
164,10-05-2025,Referral,Standard,0,2025-05,,1
165,22-02-2025,Referral,Basic,1,2025-02,17-10-2025,0
166,21-06-2025,Paid Social,Basic,1,2025-06,26-08-2025,0
167,06-08-2025,Email Campaign,Standard,1,2025-08,11-09-2025,0
168,09-06-2025,Paid Social,Standard,1,2025-06,,1
169,17-07-2025,Organic Search,Premium,1,2025-07,,1
170,04-09-2025,Paid Social,Basic,0,2025-09,,1
171,22-07-2025,App Store,Standard,0,2025-07,02-10-2025,0
172,03-07-2025,App Store,Basic,1,2025-07,16-10-2025,0
173,03-05-2025,App Store,Standard,1,2025-05,,1
174,12-09-2025,Referral,Standard,1,2025-09,,1
175,08-04-2025,Organic Search,Standard,1,2025-04,29-05-2025,0
176,17-07-2025,Organic Search,Basic,1,2025-07,,1
177,28-08-2025,Organic Search,Basic,0,2025-08,,1
178,24-05-2025,Organic Search,Basic,0,2025-05,15-06-2025,0
179,07-04-2025,Paid Social,Standard,1,2025-04,10-04-2025,0
180,20-07-2025,Organic Search,Premium,0,2025-07,,1
181,04-05-2025,Paid Social,Basic,0,2025-05,20-06-2025,0
182,06-07-2025,App Store,Standard,1,2025-07,,1
183,16-09-2025,Paid Social,Premium,0,2025-09,19-10-2025,0
184,28-05-2025,App Store,Standard,1,2025-05,,1
185,09-09-2025,Referral,Standard,1,2025-09,,1
186,27-05-2025,Organic Search,Standard,1,2025-05,20-07-2025,0
187,28-05-2025,Paid Social,Basic,0,2025-05,22-08-2025,0
188,18-07-2025,Organic Search,Basic,0,2025-07,19-07-2025,0
189,08-05-2025,Paid Social,Basic,1,2025-05,,1
190,08-02-2025,Referral,Premium,1,2025-02,27-10-2025,0
191,09-05-2025,Organic Search,Premium,1,2025-05,,1
192,24-09-2025,Organic Search,Standard,0,2025-09,27-10-2025,0
193,31-05-2025,Paid Social,Basic,1,2025-05,,1
194,09-04-2025,App Store,Basic,0,2025-04,13-06-2025,0
195,20-09-2025,Email Campaign,Basic,1,2025-09,,1
196,09-09-2025,Email Campaign,Basic,1,2025-09,,1
197,24-05-2025,Organic Search,Standard,1,2025-05,29-09-2025,0
198,22-04-2025,Email Campaign,Premium,1,2025-04,,1
199,01-03-2025,Email Campaign,Premium,1,2025-03,12-03-2025,0
200,02-01-2025,Referral,Standard,1,2025-01,13-03-2025,0
201,11-09-2025,App Store,Basic,1,2025-09,,1
202,20-05-2025,Paid Social,Basic,1,2025-05,,1
203,06-02-2025,App Store,Basic,1,2025-02,,1
204,09-06-2025,App Store,Standard,1,2025-06,,1
205,09-01-2025,Organic Search,Standard,0,2025-01,18-01-2025,0
206,21-08-2025,Paid Social,Basic,0,2025-08,04-09-2025,0
207,09-04-2025,App Store,Basic,0,2025-04,,1
208,27-05-2025,Organic Search,Basic,1,2025-05,,1
209,27-07-2025,Paid Social,Basic,1,2025-07,14-08-2025,0
210,11-05-2025,App Store,Basic,1,2025-05,20-08-2025,0
211,01-06-2025,Referral,Basic,1,2025-06,,1
212,23-02-2025,Organic Search,Basic,0,2025-02,,1
213,30-04-2025,Referral,Premium,1,2025-04,,1
214,10-06-2025,Organic Search,Standard,1,2025-06,,1
215,26-04-2025,Paid Social,Basic,1,2025-04,26-06-2025,0
216,16-03-2025,Organic Search,Basic,0,2025-03,15-07-2025,0
217,23-04-2025,Referral,Basic,0,2025-04,26-05-2025,0
218,14-04-2025,Paid Social,Basic,1,2025-04,09-05-2025,0
219,11-09-2025,Email Campaign,Basic,1,2025-09,01-10-2025,0
220,15-08-2025,Referral,Standard,0,2025-08,13-09-2025,0
221,22-04-2025,Paid Social,Standard,0,2025-04,23-04-2025,0
222,09-04-2025,Referral,Standard,1,2025-04,,1
223,02-06-2025,Organic Search,Basic,1,2025-06,27-08-2025,0
224,13-07-2025,Referral,Standard,0,2025-07,25-07-2025,0
225,12-06-2025,Organic Search,Basic,0,2025-06,01-08-2025,0
226,27-07-2025,App Store,Basic,1,2025-07,,1
227,18-06-2025,Organic Search,Standard,1,2025-06,,1
228,10-06-2025,Paid Social,Standard,0,2025-06,24-07-2025,0
229,09-03-2025,Referral,Premium,0,2025-03,,1
230,15-05-2025,Paid Social,Standard,0,2025-05,20-07-2025,0
231,14-07-2025,Organic Search,Premium,0,2025-07,20-07-2025,0
232,08-05-2025,Referral,Premium,1,2025-05,,1
233,02-02-2025,Referral,Standard,0,2025-02,09-05-2025,0
234,25-06-2025,Email Campaign,Standard,1,2025-06,,1
235,22-01-2025,Paid Social,Standard,0,2025-01,25-01-2025,0
236,26-08-2025,Referral,Premium,1,2025-08,22-10-2025,0
237,07-06-2025,Paid Social,Standard,0,2025-06,,1
238,07-02-2025,Referral,Basic,1,2025-02,25-02-2025,0
239,18-08-2025,Referral,Standard,1,2025-08,,1
240,20-02-2025,Paid Social,Basic,1,2025-02,,1
241,21-09-2025,Organic Search,Basic,0,2025-09,24-09-2025,0
242,27-01-2025,Organic Search,Basic,0,2025-01,28-01-2025,0
243,14-08-2025,Organic Search,Standard,0,2025-08,02-09-2025,0
244,07-04-2025,Organic Search,Premium,1,2025-04,17-06-2025,0
245,27-05-2025,Paid Social,Basic,1,2025-05,04-09-2025,0
246,04-01-2025,Referral,Basic,0,2025-01,27-01-2025,0
247,04-02-2025,Organic Search,Basic,0,2025-02,18-02-2025,0
248,11-07-2025,App Store,Standard,0,2025-07,07-08-2025,0
249,18-02-2025,Organic Search,Basic,0,2025-02,02-05-2025,0
250,17-01-2025,Email Campaign,Basic,0,2025-01,21-02-2025,0
251,21-06-2025,Referral,Basic,1,2025-06,,1
252,08-08-2025,Paid Social,Basic,0,2025-08,14-09-2025,0
253,07-06-2025,Organic Search,Basic,0,2025-06,,1
254,15-02-2025,Referral,Standard,0,2025-02,10-08-2025,0
255,06-01-2025,Paid Social,Basic,0,2025-01,22-01-2025,0
256,09-04-2025,App Store,Standard,1,2025-04,23-09-2025,0
257,21-08-2025,Paid Social,Basic,1,2025-08,10-09-2025,0
258,06-02-2025,App Store,Basic,1,2025-02,21-03-2025,0
259,30-06-2025,Organic Search,Basic,1,2025-06,31-07-2025,0
260,05-04-2025,Email Campaign,Standard,1,2025-04,,1
261,09-04-2025,Referral,Premium,0,2025-04,15-06-2025,0
262,07-07-2025,Email Campaign,Premium,1,2025-07,,1
263,26-04-2025,Organic Search,Standard,1,2025-04,,1
264,10-07-2025,Referral,Basic,0,2025-07,14-07-2025,0
265,10-09-2025,Paid Social,Standard,0,2025-09,27-09-2025,0
266,10-06-2025,Email Campaign,Standard,1,2025-06,22-06-2025,0
267,13-09-2025,Paid Social,Basic,0,2025-09,,1
268,08-05-2025,App Store,Standard,1,2025-05,05-06-2025,0
269,18-01-2025,Organic Search,Basic,1,2025-01,16-03-2025,0
270,11-08-2025,Email Campaign,Basic,1,2025-08,,1
271,23-02-2025,App Store,Basic,1,2025-02,24-04-2025,0
272,27-02-2025,Email Campaign,Basic,1,2025-02,09-05-2025,0
273,23-06-2025,Paid Social,Standard,0,2025-06,20-09-2025,0
274,24-04-2025,Paid Social,Basic,0,2025-04,01-09-2025,0
275,31-05-2025,App Store,Basic,1,2025-05,04-08-2025,0
276,07-05-2025,Organic Search,Basic,1,2025-05,,1
277,04-06-2025,Paid Social,Standard,1,2025-06,16-08-2025,0
278,14-04-2025,Referral,Standard,0,2025-04,15-05-2025,0
279,03-09-2025,Email Campaign,Basic,0,2025-09,,1
280,25-06-2025,Organic Search,Basic,1,2025-06,,1
281,08-02-2025,Referral,Basic,1,2025-02,27-04-2025,0
282,19-06-2025,Email Campaign,Premium,0,2025-06,09-09-2025,0
283,04-09-2025,Organic Search,Basic,1,2025-09,,1
284,26-01-2025,App Store,Basic,1,2025-01,,1
285,13-01-2025,Organic Search,Basic,0,2025-01,16-08-2025,0
286,05-02-2025,Paid Social,Standard,1,2025-02,22-10-2025,0
287,22-06-2025,Organic Search,Standard,1,2025-06,,1
288,20-01-2025,Organic Search,Basic,1,2025-01,,1
289,21-09-2025,App Store,Basic,1,2025-09,,1
290,22-05-2025,Paid Social,Basic,0,2025-05,20-07-2025,0
291,23-05-2025,Paid Social,Standard,0,2025-05,18-09-2025,0
292,02-04-2025,Organic Search,Premium,0,2025-04,14-04-2025,0
293,03-08-2025,Referral,Standard,0,2025-08,29-09-2025,0
294,20-02-2025,Referral,Standard,1,2025-02,,1
295,02-06-2025,Paid Social,Basic,0,2025-06,,1
296,05-07-2025,Paid Social,Standard,0,2025-07,23-10-2025,0
297,04-03-2025,App Store,Standard,1,2025-03,,1
298,09-07-2025,Paid Social,Basic,1,2025-07,,1
299,05-05-2025,Paid Social,Premium,0,2025-05,,1
300,30-05-2025,Organic Search,Basic,0,2025-05,15-06-2025,0
301,27-02-2025,Email Campaign,Basic,1,2025-02,20-03-2025,0
302,29-06-2025,Paid Social,Standard,1,2025-06,03-10-2025,0
303,19-06-2025,Paid Social,Standard,0,2025-06,29-06-2025,0
304,28-09-2025,Organic Search,Standard,1,2025-09,13-10-2025,0
305,23-02-2025,App Store,Basic,0,2025-02,,1
306,11-04-2025,Organic Search,Standard,1,2025-04,,1
307,21-09-2025,Email Campaign,Standard,0,2025-09,16-10-2025,0
308,22-02-2025,Paid Social,Basic,1,2025-02,05-06-2025,0
309,01-03-2025,Organic Search,Premium,1,2025-03,,1
310,18-04-2025,Email Campaign,Standard,1,2025-04,19-04-2025,0
311,05-01-2025,Paid Social,Basic,1,2025-01,,1
312,13-04-2025,App Store,Standard,0,2025-04,23-08-2025,0
313,15-07-2025,App Store,Basic,1,2025-07,,1
314,19-09-2025,App Store,Basic,1,2025-09,,1
315,16-02-2025,Organic Search,Basic,1,2025-02,10-05-2025,0
316,24-05-2025,Email Campaign,Premium,0,2025-05,17-08-2025,0
317,26-09-2025,Paid Social,Basic,0,2025-09,,1
318,04-05-2025,App Store,Standard,1,2025-05,01-09-2025,0
319,16-04-2025,Referral,Basic,0,2025-04,,1
320,07-06-2025,Email Campaign,Standard,0,2025-06,,1
321,27-05-2025,Paid Social,Standard,0,2025-05,17-06-2025,0
322,25-05-2025,Paid Social,Standard,1,2025-05,29-10-2025,0
323,30-04-2025,Organic Search,Basic,0,2025-04,12-05-2025,0
324,02-04-2025,Email Campaign,Standard,1,2025-04,02-06-2025,0
325,27-02-2025,Paid Social,Premium,1,2025-02,,1
326,17-08-2025,Paid Social,Standard,1,2025-08,,1
327,27-04-2025,Email Campaign,Basic,1,2025-04,17-05-2025,0
328,07-05-2025,Referral,Premium,1,2025-05,,1
329,09-05-2025,Organic Search,Basic,0,2025-05,,1
330,27-02-2025,Referral,Standard,1,2025-02,,1
331,02-05-2025,Paid Social,Premium,1,2025-05,,1
332,01-01-2025,Paid Social,Basic,1,2025-01,,1
333,27-08-2025,Organic Search,Basic,1,2025-08,,1
334,06-04-2025,Organic Search,Basic,1,2025-04,29-05-2025,0
335,06-05-2025,Organic Search,Standard,1,2025-05,,1
336,28-04-2025,Email Campaign,Standard,1,2025-04,18-08-2025,0
337,17-02-2025,Organic Search,Basic,1,2025-02,09-04-2025,0
338,30-03-2025,Paid Social,Basic,1,2025-03,13-05-2025,0
339,25-08-2025,App Store,Basic,1,2025-08,04-10-2025,0
340,29-09-2025,Organic Search,Basic,0,2025-09,17-10-2025,0
341,08-07-2025,Paid Social,Basic,0,2025-07,,1
342,11-07-2025,Email Campaign,Premium,1,2025-07,,1
343,10-03-2025,App Store,Basic,1,2025-03,20-03-2025,0
344,04-09-2025,Email Campaign,Premium,1,2025-09,,1
345,17-03-2025,Email Campaign,Standard,0,2025-03,12-04-2025,0
346,03-06-2025,Email Campaign,Basic,1,2025-06,,1
347,24-05-2025,Paid Social,Standard,1,2025-05,07-08-2025,0
348,27-03-2025,Email Campaign,Standard,1,2025-03,31-05-2025,0
349,04-07-2025,Organic Search,Basic,1,2025-07,,1
350,08-08-2025,App Store,Basic,1,2025-08,,1
351,10-03-2025,Paid Social,Basic,0,2025-03,06-07-2025,0
352,16-02-2025,Referral,Basic,1,2025-02,16-10-2025,0
353,04-04-2025,Organic Search,Basic,0,2025-04,30-04-2025,0
354,26-08-2025,Email Campaign,Basic,1,2025-08,,1
355,23-07-2025,Organic Search,Basic,1,2025-07,26-07-2025,0
356,06-08-2025,App Store,Basic,0,2025-08,08-08-2025,0
357,08-02-2025,Email Campaign,Basic,0,2025-02,26-08-2025,0
358,10-04-2025,Organic Search,Basic,1,2025-04,03-09-2025,0
359,11-09-2025,Email Campaign,Basic,1,2025-09,,1
360,10-08-2025,Email Campaign,Premium,0,2025-08,,1
361,23-01-2025,Referral,Basic,1,2025-01,,1
362,07-09-2025,Paid Social,Standard,1,2025-09,21-10-2025,0
363,10-01-2025,Organic Search,Basic,0,2025-01,30-04-2025,0
364,03-09-2025,Organic Search,Premium,1,2025-09,,1
365,10-04-2025,Paid Social,Basic,1,2025-04,22-04-2025,0
366,29-06-2025,App Store,Premium,1,2025-06,,1
367,11-08-2025,Organic Search,Standard,1,2025-08,,1
368,07-09-2025,Email Campaign,Basic,0,2025-09,,1
369,27-05-2025,Paid Social,Premium,1,2025-05,,1
370,06-04-2025,Paid Social,Standard,0,2025-04,07-04-2025,0
371,14-09-2025,Email Campaign,Basic,1,2025-09,,1
372,04-01-2025,App Store,Standard,1,2025-01,20-06-2025,0
373,16-01-2025,Paid Social,Premium,1,2025-01,31-07-2025,0
374,04-09-2025,Paid Social,Basic,0,2025-09,07-10-2025,0
375,15-09-2025,Paid Social,Basic,0,2025-09,,1
376,09-06-2025,Organic Search,Standard,1,2025-06,04-10-2025,0
377,01-06-2025,Organic Search,Standard,1,2025-06,,1
378,27-06-2025,Paid Social,Premium,1,2025-06,06-08-2025,0
379,12-06-2025,Paid Social,Standard,0,2025-06,20-06-2025,0
380,02-02-2025,Email Campaign,Basic,1,2025-02,30-06-2025,0
381,28-06-2025,Paid Social,Premium,0,2025-06,04-10-2025,0
382,11-04-2025,Paid Social,Basic,1,2025-04,,1
383,25-09-2025,Paid Social,Basic,1,2025-09,,1
384,06-03-2025,Email Campaign,Standard,1,2025-03,,1
385,17-06-2025,App Store,Standard,1,2025-06,,1
386,12-02-2025,Paid Social,Basic,0,2025-02,15-03-2025,0
387,13-02-2025,Email Campaign,Standard,0,2025-02,20-02-2025,0
388,12-01-2025,Organic Search,Basic,1,2025-01,,1
389,05-04-2025,Paid Social,Basic,1,2025-04,16-05-2025,0
390,10-09-2025,Paid Social,Standard,1,2025-09,,1
391,30-08-2025,Paid Social,Basic,0,2025-08,01-10-2025,0
392,04-02-2025,Email Campaign,Basic,1,2025-02,08-02-2025,0
393,03-08-2025,App Store,Basic,1,2025-08,,1
394,31-03-2025,Organic Search,Premium,1,2025-03,26-10-2025,0
395,21-09-2025,Referral,Basic,1,2025-09,,1
396,03-04-2025,Referral,Basic,1,2025-04,28-05-2025,0
397,31-03-2025,Organic Search,Standard,1,2025-03,,1
398,25-04-2025,Organic Search,Basic,1,2025-04,14-05-2025,0
399,15-04-2025,Paid Social,Basic,0,2025-04,26-04-2025,0
400,15-07-2025,Organic Search,Standard,1,2025-07,31-08-2025,0
401,24-04-2025,Organic Search,Basic,1,2025-04,26-08-2025,0
402,16-03-2025,Organic Search,Premium,0,2025-03,06-08-2025,0
403,05-08-2025,Paid Social,Basic,1,2025-08,,1
404,06-09-2025,Email Campaign,Basic,0,2025-09,14-09-2025,0
405,13-06-2025,Referral,Basic,1,2025-06,,1
406,11-07-2025,App Store,Basic,1,2025-07,15-07-2025,0
407,15-08-2025,Paid Social,Standard,1,2025-08,,1
408,26-06-2025,Email Campaign,Basic,1,2025-06,09-10-2025,0
409,09-04-2025,App Store,Basic,0,2025-04,19-10-2025,0
410,05-02-2025,Referral,Standard,1,2025-02,15-06-2025,0
411,06-04-2025,Paid Social,Standard,1,2025-04,,1
412,01-06-2025,Email Campaign,Basic,1,2025-06,03-06-2025,0
413,31-05-2025,Organic Search,Basic,1,2025-05,,1
414,09-07-2025,Paid Social,Basic,1,2025-07,,1
415,12-08-2025,Paid Social,Basic,1,2025-08,,1
416,06-02-2025,Referral,Basic,1,2025-02,,1
417,25-09-2025,Organic Search,Standard,0,2025-09,,1
418,02-07-2025,App Store,Premium,1,2025-07,27-10-2025,0
419,13-01-2025,Referral,Basic,0,2025-01,26-03-2025,0
420,05-08-2025,Paid Social,Basic,0,2025-08,13-08-2025,0
421,03-03-2025,App Store,Basic,1,2025-03,25-04-2025,0
422,25-03-2025,Paid Social,Basic,0,2025-03,08-04-2025,0
423,05-08-2025,App Store,Basic,0,2025-08,22-10-2025,0
424,06-07-2025,Paid Social,Premium,1,2025-07,,1
425,19-01-2025,Organic Search,Standard,0,2025-01,28-02-2025,0
426,26-06-2025,Email Campaign,Premium,1,2025-06,13-09-2025,0
427,10-04-2025,Referral,Premium,1,2025-04,21-07-2025,0
428,21-08-2025,Email Campaign,Basic,0,2025-08,04-10-2025,0
429,17-03-2025,App Store,Standard,1,2025-03,,1
430,22-09-2025,Email Campaign,Basic,1,2025-09,04-10-2025,0
431,25-07-2025,Referral,Basic,1,2025-07,,1
432,11-08-2025,App Store,Premium,0,2025-08,,1
433,21-02-2025,Referral,Basic,0,2025-02,10-03-2025,0
